NCFT2XN0	2	NPWZ0000	11	CPWP8268TM
NCFT2XP0	1	NPWZ0000	10	CPWP3504TM
NCFT2XP0	2	NPWZ0000	11	CPWP8504TM
NCFT2XR0	1	NPWZ0000	10	CPWP0036TM
NCFT2XR0	2	NPWZ0000	11	CPWP5036TM
NCFT2Y40	1	NPWZ0000	10	CPWP3011TM
NCFT2Y40	2	NPWZ0000	11	CPWP8011TM
NCFT2Y50	1	NPWZ0000	10	CPWP3260TM
NCFT2Y50	2	NPWZ0000	11	CPWP8260TM
NCFT2Y60	1	NPWZ0000	10	CPWP3011TM
NCFT2Y60	2	NPWZ0000	11	CPWP8011TM
NCFT2Y70	1	NPWZ0000	10	CPWP3260TM
NCFT2Y70	2	NPWZ0000	11	CPWP8260TM
NCFT3TJ0	1	NPWZ0000	10	CPWP0036TM
NCFT3TJ0	2	NPWZ0000	11	CPWP5036TM
NCFT3TK0	1	NPWZ0000	10	CPWP0036TM
NCFT3TK0	2	NPWZ0000	11	CPWP5036TM
NCLT3E90	1	NPWZ0000	10	CPWP4752TM
NCLT3E90	2	NPWZ0000	11	CPWP9752TM
NCLT3EA0	1	NPWZ0000	10	CPWP4753TM
NCLT3EA0	2	NPWZ0000	11	CPWP9753TM
NCLT3EB0	1	NPWZ0000	10	CPWP4760TM
NCLT3EB0	2	NPWZ0000	11	CPWP9760TM
NCLT3EC0	1	NPWZ0000	10	CPWP4761TM
NCLT3EC0	2	NPWZ0000	11	CPWP9761TM
NCLT3H70	1	NPWZ0000	10	CPWP2767TM
NCLT3H70	2	NPWZ0000	11	CPWP7767TM
NCLT3H80	1	NPWZ0000	10	CPWP3004TM
NCLT3H80	2	NPWZ0000	11	CPWP8004TM
NCLT3H90	1	NPWZ0000	10	CPWP3011TM
NCLT3H90	2	NPWZ0000	11	CPWP8011TM
NCLT3HA0	1	NPWZ0000	10	CPWP3260TM
NCLT3HA0	2	NPWZ0000	11	CPWP8260TM
NCLT3HB0	1	NPWZ0000	10	CPWP3268TM
NCLT3HB0	2	NPWZ0000	11	CPWP8268TM
NCLT3HC0	1	NPWZ0000	10	CPWP3504TM
NCLT3HC0	2	NPWZ0000	11	CPWP8504TM
NCLT3HD0	1	NPWZ0000	10	CPWP0036TM
NCLT3HD0	2	NPWZ0000	11	CPWP5036TM
NCLT3HE0	1	NPWZ0000	10	CPWP4752TM
NCLT3HE0	2	NPWZ0000	11	CPWP9752TM
NCLT3HF0	1	NPWZ0000	10	CPWP4753TM
NCLT3HF0	2	NPWZ0000	11	CPWP9753TM
NCLT3HG0	1	NPWZ0000	10	CPWP4760TM
NCLT3HG0	2	NPWZ0000	11	CPWP9760TM
NCLT3HH0	1	NPWZ0000	10	CPWP4761TM
NCLT3HH0	2	NPWZ0000	11	CPWP9761TM
NCLT3HJ0	1	NPWZ0000	10	CPWP2767TM
NCLT3HJ0	2	NPWZ0000	11	CPWP7767TM
NCLT3HK0	1	NPWZ0000	10	CPWP3004TM
NCLT3HK0	2	NPWZ0000	11	CPWP8004TM
NCLT3HL0	1	NPWZ0000	10	CPWP3011TM
NCLT3HL0	2	NPWZ0000	11	CPWP8011TM
NCLT3HM0	1	NPWZ0000	10	CPWP3260TM
NCLT3HM0	2	NPWZ0000	11	CPWP8260TM
NCLT3HN0	1	NPWZ0000	10	CPWP3268TM
NCLT3HN0	2	NPWZ0000	11	CPWP8268TM
NCLT3HP0	1	NPWZ0000	10	CPWP3504TM
NCLT3HP0	2	NPWZ0000	11	CPWP8504TM
NCLT3HS0	1	NPWZ0000	10	CPWP0036TM
NCLT3HS0	2	NPWZ0000	11	CPWP5036TM
NCLT3TM0	1	NPWZ0000	10	CPWP0036TM
NCLT3TM0	2	NPWZ0000	11	CPWP5036TM
NCLT3TN0	1	NPWZ0000	10	CPWP0036TM
NCLT3TN0	2	NPWZ0000	11	CPWP5036TM
NDS00009	1	NDSZ0001	0	CDSP0039TM
NDS00009	2	NDSZ0001	1	CDSP0040TM
NDS00009	3	NDSZ0001	2	CDSP0041TM
NDS00009	4	NDSZ0001	3	CDSP0042TM
NDS00010	1	NDSS0783	1	CDSP0043TM
NDS00010	2	NDSS0784	1	CDSP0047TM
NDS00010	3	NDSS0785	1	CDSP0051TM
NDS00010	4	NDSS0786	1	CDSP0044TM
NDS00010	5	NDSS0787	1	CDSP0048TM
NDS00010	6	NDSS0788	1	CDSP0052TM
NDS00010	7	NDSS0789	1	CDSP0045TM
NDS00010	8	NDSS0790	1	CDSP0049TM
NDS00010	9	NDSS0791	1	CDSP0053TM
NDS00010	10	NDSS0792	1	CDSP0046TM
NDS00010	11	NDSS0793	1	CDSP0050TM
NDS00010	12	NDSS0794	1	CDSP0054TM
NDS00011	1	NDSZ0001	0	CDSP0055TM
NDS00011	2	NDSZ0001	1	CDSP0056TM
NDS00011	3	NDSZ0001	2	CDSP0057TM
NDS00011	4	NDSZ0001	3	CDSP0058TM
NDS00017	1	NDSZ0001	0	CDSP0028TM
NDS00017	2	NDSZ0001	1	CDSP0031TM
NDS00017	3	NDSZ0001	2	CDSP0034TM
NDS00017	4	NDSZ0001	3	CDSP0037TM
NDS00018	1	NDSZ0001	0	CDSP0029TM
NDS00018	2	NDSZ0001	1	CDSP0032TM
NDS00018	3	NDSZ0001	2	CDSP0035TM
NDS00018	4	NDSZ0001	3	CDSP0038TM
NDS00027	1	NDSZ0001	0	CDSP0027TM
NDS00027	2	NDSZ0001	1	CDSP0030TM
NDS00027	3	NDSZ0001	2	CDSP0033TM
NDS00027	4	NDSZ0001	3	CDSP0036TM
NDS01009	1	NDSZ0002	0	CDSP0039TM
NDS01009	2	NDSZ0002	1	CDSP0040TM
NDS01009	3	NDSZ0002	2	CDSP0041TM
NDS01009	4	NDSZ0002	3	CDSP0042TM
NDS01010	1	NDSS1783	1	CDSP0043TM
NDS01010	2	NDSS1784	1	CDSP0047TM
NDS01010	3	NDSS1785	1	CDSP0051TM
NDS01010	4	NDSS1786	1	CDSP0044TM
NDS01010	5	NDSS1787	1	CDSP0048TM
NDS01010	6	NDSS1788	1	CDSP0052TM
NDS01010	7	NDSS1789	1	CDSP0045TM
NDS01010	8	NDSS1790	1	CDSP0049TM
NDS01010	9	NDSS1791	1	CDSP0053TM
NDS01010	10	NDSS1792	1	CDSP0046TM
NDS01010	11	NDSS1793	1	CDSP0050TM
NDS01010	12	NDSS1794	1	CDSP0054TM
NDS01011	1	NDSZ0002	0	CDSP0055TM
